hnm_code,hn_exclusive,hn_premier,hn_advantage,hn_standard_plus,hn_standard,hn_basic_plus,hn_basic,essential_dental,provider_name,google_name,city,type,group_name,tel_no,area,location
M621,✔,✔,✔,✔,✔,✔,✖,✖,DOCTORS CLINIC DIAGNOSTIC CENTRE FZ-LLC,Doctors Clinic Diagnostic Center,DUBAI,MEDICAL CENTER,-,04-4579111,DUBAI HEALTHCARE CITY,"Al Razi Building 64 Block A, Ground Floor, Unit Number: 03R1 - 03R3, Oud Metha Rd - Umm Hurair 2 - Dubai Healthcare City"
M1585,✔,✔,✔,✔,✔,✔,✖,✖,MEDPLUS MEDICAL CENTER LLC,Medplus Medical Center Llc Rak Uae مركز ميدبلس الطبي ذ.م.م. رأس الخيمة,RAK,MEDICAL CENTER,-,"072369006, 072355266",Al Nakheel,"Al Jazah Street, Al Nakheel, Near DoubleTree Hilton Hotel, RAK"
M2198,✔,✔,✔,✔,✔,✔,✔,✔,AL RAHMANIAH MEDICAL CENTER LLC,AL RAHMANIAH MEDICAL CENTER LLC,RAK,MEDICAL CENTER,-,971 501053676; 971 564429760,ADHEN- Ras al khaimah,"Adhen Village, Manamma Rd, P.O  Box 67884, Ras Al Khaimah. UAE"
M1233,✔,✔,✖,✖,✖,✖,✖,✖,SAUDI GERMAN CLINICS DAMAC HILLS (BR OF SAUDIGERMAN CLINICS L.L.C),"Saudi German Clinic, Damac Hills 2",DUBAI,MEDICAL CENTER,SAUDI GERMAN HOSPITAL,04-3890000,DAMAC HILLS 2,"Saudi German Clinic, Artesia Tower - Damac Hills 2, Dubai, UAE"
M1207,✔,✔,✖,✖,✖,✖,✖,✖,SAUDI GERMAN CLINICS AKOYA (BR OF SAUDI GERMAN CLINICS L.L.C),"Saudi German Clinic, Damac Hills 2",DUBAI,MEDICAL CENTER,SAUDI GERMAN HOSPITAL,04-3890000,DAMAC HILLS 2,"D2 Community Mall - Damac Hills 2, Dubai, UAE"
M2089,✔,✔,✖,✖,✖,✖,✖,✖,SAUDI GERMAN CLINICS SERENA (BR OF SAUDI GERMAN CLINICS L.L.C),Saudi German Clinics Serena (Br Of Saudi German Clinics L.L.C),DUBAI,MEDICAL CENTER,SAUDI GERMAN HOSPITAL,04-3890000/ 0526132405,SERENA,"Unit No. G09, Serena Marketplace, Wadi Al Safa 7, Dubai – SERENA, UAE"
M2090,✔,✔,✖,✖,✖,✖,✖,✖,SAUDI GERMAN CLINICS SPORTS CITY (BR OF SAUDI GERMAN CLINICS L.L.C),"Saudi German Clinic, Sports City",DUBAI,MEDICAL CENTER,SAUDI GERMAN HOSPITAL,04-3890000/ 0526132405,DUBAI SPORTS CITY,"PLOT NO. C1B-12 & C1B-13 Sports Corner, Al Hebiah Fourth, Dubai Sports City, Dubai, UAE"
M2051,✔,✔,✖,✖,✖,✖,✖,✖,SAUDI GERMAN CLINICS SOUTH VILLAGE (BR OF SAUDI GERMAN CLINICS L.L.C),"Saudi German Clinic, South Village",DUBAI,MEDICAL CENTER,SAUDI GERMAN HOSPITAL,04-3890000,SOUTH VILLAGE,Emaar South Retail Center (South Village)
M1857,✔,✔,✔,✔,✔,✔,✖,✖,HAKIM MEDICAL CENTER L.L.C.SP,Hakim Medical Center,SHARJAH,MEDICAL CENTER,-,06-5599234; 054-3492529,Al Majaz,"King Faisal Street, HSBC bank Building, 2nd floor , 212, Al Majaz, Sharjah, UAE"
M2220,✔,✔,✔,✔,✔,✔,✖,✖,AL MUSTAQEEM MEDICAL CENTER L.L.C,AL MUSTAQEEM MEDICAL CENTER LLC,AJMAN,MEDICAL CENTER,-,065671009; 0544329299,RUMAILAH 1,"Flat No 101 , Al Nakhi-Rumailah 1 , 30  Al Zahir Street - Al Nakhil – Al, Rumailah 1 - Ajman"
M2223,✔,✔,✔,✔,✔,✖,✖,✖,PARADISE PLUS POLY CLINIC L.L.C (BRANCH),Paradise Plus Poly Clinic Branch,DUBAI,MEDICAL CENTER,Paradise Plus,042852454; 0508311944,Dubai investment park -2 (DIP- 2),"PARK BAZAAR BuildingStreet 40, DIP2- Dubai - UAE"
M2229,✔,✔,✔,✔,✔,✔,✖,✖,CARE 7 MEDICAL CENTER L.L.C,Care7 Medical Center LLC,DUBAI,MEDICAL CENTER,-,45521433; 0581757231,INTERNATIONAL CITY,"SHOP1, 2, CBD-D02, INTERNATIONAL CITY, DUBAI, UAE"
OTH373,✔,✔,✔,✔,✔,✔,✖,✖,ARMADA ONE DAY SURGICAL CENTER DMCC,Armada Surgical Center,DUBAI,HOSPITAL,Armada Healthcare,04-3990022,Jumeirah Lakes Towers - JLT,"Gound Floor, Armada Towers – P2,  Sheikh Zaid Road, Jumeirah Lakes Towers - JLT, Dubai"
M1586,✔,✔,✔,✔,✔,✔,✖,✖,ARMADA MEDICAL CENTRE DMCC,Armada Medical Centre,DUBAI,MEDICAL CENTER,Armada Healthcare,04-3990022,Jumeirah Lakes Towers - JLT,"19th Floor Armada Towers  – P2 Sheikh Zaid Road, Jumeirah Lakes Towers - JLT, Dubai"
M2236,✔,✔,✔,✔,✔,✖,✖,✖,ME ONE MEDICAL CENTER L.L.C,ME ONE Medical Center,DUBAI,MEDICAL CENTER,-,97142639999; 971569595777,ALBarsha 3,Villa B- AL Barsha Third - Hessa Street - Dubai
M2241,✔,✔,✔,✔,✔,✔,✔,✖,RAINBOW MEDICAL CENTRE,RAINBOW MEDICAL CENTRE,UAQ,MEDICAL CENTER,-,066786166; 0543592378,Umm Al Thoub,"M Floor, Umm Al Thoub, Near Etisalat  roundabout, Umm Al Quwain, UAE"
M2242,✔,✔,✔,✔,✔,✔,✔,✖,HESSA MEDICAL CLINIC,Hessa Medical Clinic,AJMAN,MEDICAL CENTER,-,065574461; 0509374461,Al Rawdah -2,"Office No 109, First Floor, Al Reem Building, Abaya Round About, Sheikh Ammar Street, Al Rawdah -2 Ajman"
M2243,✔,✔,✔,✔,✔,✖,✖,✖,SAN LUCAS MEDICAL CENTER L.L.C,San Lucas Medical Center L.L.C,DUBAI,MEDICAL CENTER,-,04 294 7996; +971 56 358 5445,Deira,"GF, New Century Tower, 34 Street,  Deira, Dubai"
M2244,✔,✔,✔,✔,✔,✔,✔,✖,MOOPANS POLYCLINIC L.L.C,Moopans Poly Clinic,DUBAI,MEDICAL CENTER,-,042589897; 0565152444,Al Qusais 5,"Moopans Mall, Al Qusais, Ind.5, Dubai"
M2096,✔,✔,✔,✔,✔,✔,✔,✖,INARA MEDICAL CENTER LLC SP,Inara Medical Center,SHARJAH,MEDICAL CENTER,-,06-7676177; 050-8443606,Al Sajaa,"Behind Al Dhaid Road Showroom No. 1, Ground Floor, Sharjah - Al Sajaa Industrial, Sharjah, U.A.E"
